id,imei_no,sim_no,log,lat,datetime
32949,hhhhh,111111,28.495580,77.305632,03-17-2021 11:52:14
32950,hhhhh,111111,28.495587,77.305625,03-17-2021 11:52:29
32951,hhhhh,111111,28.495585,77.305632,03-17-2021 11:52:44
32952,hhhhh,111111,28.495588,77.305638,03-17-2021 11:53:00
32953,hhhhh,111111,28.495597,77.305643,03-17-2021 11:53:15
32954,hhhhh,111111,28.495595,77.305637,03-17-2021 11:53:30
32955,hhhhh,111111,28.495583,77.305640,03-17-2021 11:53:45
32956,hhhhh,111111,28.495578,77.305638,03-17-2021 11:54:00
32957,hhhhh,111111,28.495563,77.305647,03-17-2021 11:54:15
32958,hhhhh,111111,28.495547,77.305660,03-17-2021 11:54:30
